var1(t-12),var2(t-12),var3(t-12),var1(t-11),var2(t-11),var3(t-11),var1(t-10),var2(t-10),var3(t-10),var1(t-9),var2(t-9),var3(t-9),var1(t-8),var2(t-8),var3(t-8),var1(t-7),var2(t-7),var3(t-7),var1(t-6),var2(t-6),var3(t-6),var1(t-5),var2(t-5),var3(t-5),var1(t-4),var2(t-4),var3(t-4),var1(t-3),var2(t-3),var3(t-3),var1(t-2),var2(t-2),var3(t-2),var1(t-1),var2(t-1),var3(t-1),var1(t),var2(t),var3(t),var1(t+1),var2(t+1),var3(t+1),var1(t+2),var2(t+2),var3(t+2),var1(t+3),var2(t+3),var3(t+3),var1(t+4),var2(t+4),var3(t+4),var1(t+5),var2(t+5),var3(t+5),var2(t+6),var3(t+6),var1(t+6)
11.944445,2.4,0.0,11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,2.4,0.0,9.833333
11.777778,2.4,0.0,11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,2.4,0.0,9.777778
11.611111,2.4,0.0,11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,2.4,0.0,9.666667
11.388889,2.4,0.0,11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,2.4,0.0,9.444445
11.555555,2.4,0.0,11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,2.4,0.0,9.222222
11.666667,2.4,0.0,11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,2.4,0.0,9.0
11.444445,2.4,0.0,11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,2.4,0.0,9.055555
11.166667,2.4,0.0,11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,2.4,0.0,9.055555
11.0,2.4,0.0,10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,2.4,0.0,9.0
10.833333,2.4,0.0,10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,2.4,0.0,9.055555
10.666667,2.4,0.0,10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,2.4,0.0,9.277778
10.611111,2.4,0.0,10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,2.4,0.0,9.388889
10.444445,2.4,0.0,10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,2.4,0.0,9.333333
10.277778,2.4,0.0,10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,2.4,0.0,9.277778
10.222222,2.4,0.0,10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,2.4,0.0,9.222222
10.111111,2.4,0.0,10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,2.4,0.0,9.166667
10.0,2.4,0.0,9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,2.4,0.0,9.166667
9.944445,2.4,0.0,9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,2.4,0.0,9.111111
9.833333,2.4,0.0,9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,2.4,0.0,9.222222
9.777778,2.4,0.0,9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,2.4,0.0,9.111111
9.666667,2.4,0.0,9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,2.4,0.0,8.944445
9.444445,2.4,0.0,9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,2.4,0.0,8.777778
9.222222,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,2.4,0.0,8.444445
9.0,2.4,0.0,9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,2.4,0.0,8.166667
9.055555,2.4,0.0,9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,2.4,0.0,8.888889
9.055555,2.4,0.0,9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,2.4,0.0,9.388889
9.0,2.4,0.0,9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,2.4,0.0,9.944445
9.055555,2.4,0.0,9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,2.4041321,0.0,10.222222
9.277778,2.4,0.0,9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,2.4251034,0.0,11.0
9.388889,2.4,0.0,9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,2.4536386,0.0,11.111111
9.333333,2.4,0.0,9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,2.4868238,0.0,11.277778
9.277778,2.4,0.0,9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,2.522379,0.0,11.333333
9.222222,2.4,0.0,9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,11.333333,2.522379,0.0,2.8085468,0.0,11.444445
9.166667,2.4,0.0,9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,11.333333,2.522379,0.0,11.444445,2.8085468,0.0,2.8439975,0.0,11.5
9.166667,2.4,0.0,9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,11.333333,2.522379,0.0,11.444445,2.8085468,0.0,11.5,2.8439975,0.0,2.8777504,0.0,11.5
9.111111,2.4,0.0,9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,11.333333,2.522379,0.0,11.444445,2.8085468,0.0,11.5,2.8439975,0.0,11.5,2.8777504,0.0,2.9091077,0.0,11.111111
9.222222,2.4,0.0,9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,11.333333,2.522379,0.0,11.444445,2.8085468,0.0,11.5,2.8439975,0.0,11.5,2.8777504,0.0,11.111111,2.9091077,0.0,2.9375985,0.0,10.888889
9.111111,2.4,0.0,8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,11.333333,2.522379,0.0,11.444445,2.8085468,0.0,11.5,2.8439975,0.0,11.5,2.8777504,0.0,11.111111,2.9091077,0.0,10.888889,2.9375985,0.0,2.9629326,0.0,10.722222
8.944445,2.4,0.0,8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,11.333333,2.522379,0.0,11.444445,2.8085468,0.0,11.5,2.8439975,0.0,11.5,2.8777504,0.0,11.111111,2.9091077,0.0,10.888889,2.9375985,0.0,10.722222,2.9629326,0.0,2.9849632,0.0,10.555555
8.777778,2.4,0.0,8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,11.333333,2.522379,0.0,11.444445,2.8085468,0.0,11.5,2.8439975,0.0,11.5,2.8777504,0.0,11.111111,2.9091077,0.0,10.888889,2.9375985,0.0,10.722222,2.9629326,0.0,10.555555,2.9849632,0.0,3.003654,0.0,10.333333
8.444445,2.4,0.0,8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,11.333333,2.522379,0.0,11.444445,2.8085468,0.0,11.5,2.8439975,0.0,11.5,2.8777504,0.0,11.111111,2.9091077,0.0,10.888889,2.9375985,0.0,10.722222,2.9629326,0.0,10.555555,2.9849632,0.0,10.333333,3.003654,0.0,3.019054,0.0,9.888889
8.166667,2.4,0.0,8.888889,2.4,0.0,9.388889,2.4,0.0,9.944445,2.4,0.0,10.222222,2.4041321,0.0,11.0,2.4251034,0.0,11.111111,2.4536386,0.0,11.277778,2.4868238,0.0,11.333333,2.522379,0.0,11.444445,2.8085468,0.0,11.5,2.8439975,0.0,11.5,2.8777504,0.0,11.111111,2.9091077,0.0,10.888889,2.9375985,0.0,10.722222,2.9629326,0.0,10.555555,2.9849632,0.0,10.333333,3.003654,0.0,9.888889,3.019054,0.0,3.0312753,0.0,9.666667
